 demo                      SWAT+ 2026-07-13        MODULAR Rev 2026.cb442f7c05fc3bfc34349c446010f452d2737c
 freq       soil_lyr  soil_depth        jday         mon         day          yr        unit                gis_id    name                 sut        tillagef       cons_bmix tillagef_biomix tillagef_tillmix       till_eff            cdg             ox             cs            no3            nh4       co2_resp      soil_temp           emix
 day              3          50           1           1           1        1975           5                     1 hru0005           0.7222652      5.2725342E-03  9.9999998E-03  5.2725342E-03  0.0000000E+00   1.005273      0.3124329      0.9999993      0.4297865       2.397216      0.0000000E+00   10.12664       8.282624      0.0000000E+00
 day              4         100           1           1           1        1975           5                     1 hru0005           0.7274632      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3147178      0.9999964      0.4306328       4.497039      0.0000000E+00   11.75650       8.331470      0.0000000E+00
 day              5         150           1           1           1        1975           5                     1 hru0005           0.7310826      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3177280      0.9999804      0.4337554       4.277716      0.0000000E+00   11.84175       8.395774      0.0000000E+00
 day              6         200           1           1           1        1975           5                     1 hru0005           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3206891      0.9999107      0.4373223      5.1796436E-02   4.303851       3.305150       8.458980      0.0000000E+00
 day              7         300           1           1           1        1975           5                     1 hru0005           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3250232      0.9992469      0.4399752      0.3033109       7.578992       6.650398       8.551403      0.0000000E+00
 day              8         450           1           1           1        1975           5                     1 hru0005           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3319108      0.9787498      0.4354924      0.7109232       9.465630       9.873970       8.698082      0.0000000E+00
 day              9         600           1           1           1        1975           5                     1 hru0005           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3395420      0.5428548      0.2443029      0.4864502       8.272590       5.539109       8.860346      0.0000000E+00
 day             10         750           1           1           1        1975           5                     1 hru0005           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3464255      0.2131508      9.6892484E-02  0.2158980       7.323077       2.196854       9.006509      0.0000000E+00
 day             11         900           1           1           1        1975           5                     1 hru0005           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3525494      0.2003133      9.1858231E-02  0.1653490       6.460118       1.564238       9.136410      0.0000000E+00
 day             12        1050           1           1           1        1975           5                     1 hru0005           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3579392      0.2000076      9.2416473E-02  8.2367420E-02   5.796595      0.7409320       9.250642      0.0000000E+00
 day             13        1200           1           1           1        1975           5                     1 hru0005           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3626429      0.2000002      9.3018256E-02  8.5936069E-02   4.974133      0.7457569       9.350277      0.0000000E+00
 day             14        1500           1           1           1        1975           5                     1 hru0005           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3685485      0.2000000      9.3772508E-02  0.1817765       7.315416       1.503610       9.475300      0.0000000E+00
 day             15        1800           1           1           1        1975           5                     1 hru0005           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3746234      0.2000000      9.4542190E-02  0.1887860       5.365271       1.515951       9.603845      0.0000000E+00
 day             16        2000           1           1           1        1975           5                     1 hru0005           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3784430      0.2000000      9.5022932E-02  0.1282539       2.903263       1.015772       9.684639      0.0000000E+00
 day              1          10           1           1           1        1975           6                     1 hru0006           0.7150851      5.2723926E-03  9.9999998E-03  5.2723926E-03  0.0000000E+00   1.005272      0.3104354      0.9999998      0.4262757      0.6568875      0.3110834       4.708853       8.239894      0.0000000E+00
 day              2          25           1           1           1        1975           6                     1 hru0006           0.7162194      5.2723926E-03  9.9999998E-03  5.2723926E-03  0.0000000E+00   1.005272      0.3112004      0.9999998      0.4271391       1.418699      0.0000000E+00   5.831275       8.256262      0.0000000E+00
 day              3          50           1           1           1        1975           6                     1 hru0006           0.7222652      5.2723926E-03  9.9999998E-03  5.2723926E-03  0.0000000E+00   1.005272      0.3124205      0.9999993      0.4297779       2.313979      0.0000000E+00   9.778832       8.282358      0.0000000E+00
 day              4         100           1           1           1        1975           6                     1 hru0006           0.7274632      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3146931      0.9999964      0.4306159      0.1217527       4.343621       13.52488       8.330943      0.0000000E+00
 day              5         150           1           1           1        1975           6                     1 hru0006           0.7310826      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3176874      0.9999804      0.4337278      0.3727591       3.874836       13.62262       8.394909      0.0000000E+00
 day              6         200           1           1           1        1975           6                     1 hru0006           0.7363961      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000000      0.3206334      0.9999107      0.4372843      0.1401033       4.301512       3.370091       8.457791      0.0000000E+00
