unit_name,unit_kind,source_file,start_line,parent_unit,reachable_from_main,depth_from_main,first_path_from_main,called_by_known,called_by_reachable_from_main,calls_known_local,calls_known_local_count,calls_unresolved_or_external,calls_ambiguous_local_names,raw_call_sites
time_control,subroutine,SWATPLUS/swatplus/src/time_control.f90,1,,yes,1,main > time_control,calhard_control;calsoft_hyd;calsoft_hyd_bfr_et;calsoft_hyd_bfr_latq;calsoft_hyd_bfr_perc;calsoft_hyd_bfr_pet;calsoft_hyd_bfr_surq;calsoft_plant;calsoft_sed;caltsoft_hyd;main,calhard_control;calsoft_hyd;calsoft_hyd_bfr_et;calsoft_hyd_bfr_latq;calsoft_hyd_bfr_perc;calsoft_hyd_bfr_pet;calsoft_hyd_bfr_surq;calsoft_plant;calsoft_sed;caltsoft_hyd;main,actions;aqu_pest_output_init;basin_sw_init;calsoft_ave_output;calsoft_sum_output;cli_atmodep_time_control;cli_precip_control;climate_control;command;conditions;mallo_control;mgt_newtillmix_cswat0;sim_initday;xmon,14,date_and_time,,xmon:98;cli_precip_control:101;basin_sw_init:152;aqu_pest_output_init:153;xmon:161;date_and_time:168;sim_initday:218;climate_control:229;cli_atmodep_time_control:231;conditions:238;actions:239;mallo_control:246;command:250;calsoft_sum_output:275;mgt_newtillmix_cswat0:339;calsoft_ave_output:449
unit_hyd_ru_hru,subroutine,SWATPLUS/swatplus/src/unit_hyd_ru_hru.f90,1,,yes,1,main > unit_hyd_ru_hru,main,main,unit_hyd,1,,,unit_hyd:23;unit_hyd:27;unit_hyd:43
water_allocation_read,subroutine,SWATPLUS/swatplus/src/water_allocation_read.f90,1,,yes,1,main > water_allocation_read,main,main,,0,,,
water_canal_read,subroutine,SWATPLUS/swatplus/src/water_canal_read.f90,1,,yes,1,main > water_canal_read,main,main,,0,,,
water_pipe_read,subroutine,SWATPLUS/swatplus/src/water_pipe_read.f90,1,,yes,1,main > water_pipe_read,main,main,,0,,,
water_tower_read,subroutine,SWATPLUS/swatplus/src/water_tower_read.f90,1,,yes,1,main > water_tower_read,main,main,,0,,,
water_treatment_read,subroutine,SWATPLUS/swatplus/src/water_treatment_read.f90,1,,yes,1,main > water_treatment_read,main,main,,0,,,
water_use_read,subroutine,SWATPLUS/swatplus/src/water_use_read.f90,1,,yes,1,main > water_use_read,main,main,,0,,,
wet_all_initial,subroutine,SWATPLUS/swatplus/src/wet_all_initial.f90,1,,yes,1,main > wet_all_initial,main,main,wet_initial,1,,,wet_initial:18
wet_fp_init,subroutine,SWATPLUS/swatplus/src/wet_fp_init.f90,1,,yes,1,main > wet_fp_init,main,main,,0,,,
wet_read,subroutine,SWATPLUS/swatplus/src/wet_read.f90,1,,yes,1,main > wet_read,main,main,,0,,,
wet_read_hyd,subroutine,SWATPLUS/swatplus/src/wet_read_hyd.f90,1,,yes,1,main > wet_read_hyd,main,main,,0,,,
wet_read_salt_cs,subroutine,SWATPLUS/swatplus/src/wet_read_salt_cs.f90,1,,yes,1,main > wet_read_salt_cs,main,main,,0,,,
define_unit_elements,subroutine,SWATPLUS/swatplus/src/define_unit_elements.f90,1,,yes,2,main > cal_parmchg_read > define_unit_elements,aqu2d_read;aqu_read_elements;cal_parmchg_read;ch_read_elements;lsu_read_elements;pl_read_parms_cal;pl_read_regions_cal;rec_read_elements;reg_read_elements;res_read_elements;ru_read_elements,aqu2d_read;aqu_read_elements;cal_parmchg_read;ch_read_elements;lsu_read_elements;pl_read_parms_cal;pl_read_regions_cal;rec_read_elements;res_read_elements;ru_read_elements,,0,,,
